secs,x
0.00581,-0.48908
0.00582,2.1638
0.00583,-1.4627
0.00584,0.18277
0.00585,-6.0822
0.00586,0.013668
0.00587,-6.3116
0.00588,-1.8104
0.00589,5.9475
0.0059,-3.6675
0.00591,2.6054
0.00592,1.339
0.00593,0.60112
0.00594,0.30388
0.00595,-5.0062
0.00596,0.71916
0.00597,0.20806
0.00598,0.68137
0.00599,-1.4056
0.006,0.22499
0.00601,2.9327
0.00602,3.0491
0.00603,4.0472
0.00604,-1.5622
0.00605,-4.009
0.00606,-0.63345
0.00607,1.4565
0.00608,6.4613
0.00609,0.028758
0.0061,1.9489
0.00611,1.2301
0.00612,-4.5894
0.00613,1.6229
0.00614,4.4593
0.00615,1.0402
0.00616,1.9131
0.00617,1.6584
0.00618,-0.89248
0.00619,-1.4835
0.0062,1.1216
0.00621,-3.2031
0.00622,-4.0044
0.00623,4.8885
0.00624,3.7609
0.00625,1.7231
0.00626,3.3725
0.00627,0.8083
0.00628,-0.9584
0.00629,-4.0239
0.0063,-2.3439
0.00631,2.4493
0.00632,3.935
0.00633,1.5567
0.00634,3.0113
0.00635,1.4537
0.00636,-1.7122
0.00637,3.0284
0.00638,-1.359
0.00639,0.97407
0.0064,-3.4181
0.00641,-2.9017
0.00642,-0.14598
0.00643,-0.11013
0.00644,-1.5293
0.00645,-1.2892
0.00646,-0.94338
0.00647,-2.7437
0.00648,-3.6707
0.00649,0.66923
0.0065,1.1369
0.00651,3.3736
0.00652,-0.2645
0.00653,3.5238
0.00654,0.51377
0.00655,-0.28442
0.00656,-1.6412
0.00657,-2.5927
0.00658,-1.3279
0.00659,0.65547
0.0066,-5.7052
0.00661,-2.0808
0.00662,-5.9527
0.00663,-3.727
0.00664,2.4582
0.00665,-4.4522
0.00666,1.0633
0.00667,-0.39357
0.00668,-0.39299
0.00669,-1.5084
0.0067,2.479
0.00671,2.9997
0.00672,2.9882
0.00673,0.56499
0.00674,1.3564
0.00675,3.4305
0.00676,1.3193
0.00677,0.84585
0.00678,2.1299
0.00679,-0.83226
0.0068,-2.0009
0.00681,3.8809
0.00682,-2.351
0.00683,-1.6253
0.00684,-3.0053
0.00685,-4.068
0.00686,-0.99776
0.00687,-2.8011
0.00688,1.2291
0.00689,1.7002
0.0069,4.098
0.00691,-0.98506
0.00692,7.2827
0.00693,-0.60786
0.00694,-3.4356
0.00695,-3.0276
0.00696,4.8518
0.00697,-4.4346
0.00698,10.354
0.00699,0.74077
0.007,1.3639
0.00701,-0.43528
0.00702,-2.0938
0.00703,-1.1784
0.00704,-1.3638
0.00705,2.5175
0.00706,0.85999
0.00707,0.5561
0.00708,-3.3664
0.00709,4.2718
0.0071,3.9926
0.00711,-2.2195
0.00712,-1.2321
0.00713,3.7873
0.00714,0.6109
0.00715,3.806
0.00716,-0.17658
0.00717,6.3252
0.00718,-2.2416
0.00719,3.835
0.0072,-0.9465
0.00721,1.852
0.00722,2.0704
0.00723,1.8501
0.00724,0.75382
0.00725,1.609
0.00726,4.4385
0.00727,3.3097
0.00728,0.61096
0.00729,0.074292
0.0073,-2.4728
0.00731,-1.469
0.00732,-4.8404
0.00733,-2.0032
0.00734,-4.3046
0.00735,-1.9162
0.00736,6.4845
0.00737,4.5075
0.00738,2.8605
0.00739,-0.7912
0.0074,4.2399
0.00741,-3.5505
0.00742,3.3542
0.00743,-1.5254
0.00744,-1.0251
0.00745,4.4974
0.00746,2.5039
0.00747,-6.4016
0.00748,-0.43725
0.00749,3.0542
0.0075,-3.3897
0.00751,0.40655
0.00752,2.2569
0.00753,-2.593
0.00754,2.3493
0.00755,0.24681
0.00756,1.8261
0.00757,-3.1694
0.00758,-0.014823
0.00759,3.6982
0.0076,0.24121
0.00761,-0.85802
0.00762,1.1302
0.00763,2.5841
0.00764,0.99029
0.00765,2.4879
0.00766,-3.6672
0.00767,-0.21543
0.00768,3.2375
0.00769,-1.1486
0.0077,2.9362
0.00771,0.015459
0.00772,3.0908
0.00773,0.0035852
0.00774,0.6546
0.00775,0.97343
0.00776,-1.5584
0.00777,-2.4262
0.00778,4.7507
0.00779,3.6784
0.0078,1.9197
0.00781,0.23091
0.00782,3.8287
0.00783,-4.3762
0.00784,-1.6154
0.00785,-0.92596
0.00786,0.5441
0.00787,-1.6804
0.00788,-1.8963
0.00789,-2.5117
0.0079,0.50001
0.00791,2.0462
0.00792,3.7781
0.00793,-1.7327
0.00794,1.7325
0.00795,0.29472
0.00796,-1.1624
0.00797,1.6901
0.00798,0.89327
0.00799,2.5715
0.008,2.7601
0.00801,7.0732
0.00802,-5.1236
0.00803,-2.6785
0.00804,3.763
0.00805,3.6425
0.00806,-1.3125
0.00807,-3.1708
0.00808,1.423
0.00809,1.5366
0.0081,3.9232
0.00811,-1.6451
0.00812,1.2961
0.00813,-1.679
0.00814,0.86946
0.00815,-2.3923
0.00816,0.048336
0.00817,3.3888
0.00818,1.1255
0.00819,-0.15783
0.0082,-6.347
0.00821,1.7852
0.00822,-0.69993
0.00823,-0.78162
0.00824,1.2962
0.00825,-1.8938
0.00826,-2.898
0.00827,2.9799
0.00828,-0.80086
0.00829,-6.0823
0.0083,-6.8878
0.00831,-1.0949
0.00832,3.2515
0.00833,-2.2636
0.00834,-3.602
0.00835,-1.2739
0.00836,1.2161
0.00837,-1.0607
0.00838,4.6006
0.00839,-2.1581
0.0084,2.7425
0.00841,-4.9151
0.00842,5.8783
0.00843,-8.1728
0.00844,0.43264
0.00845,-4.5298
0.00846,-2.0294
0.00847,-3.5252
0.00848,-0.9802
0.00849,3.5095
0.0085,-1.9531
0.00851,-1.0125
0.00852,-0.45142
0.00853,-2.4003
0.00854,3.3828
0.00855,-1.4123
0.00856,2.0162
0.00857,-5.8743
0.00858,2.5949
0.00859,1.9843
0.0086,0.15546
0.00861,-1.2001
0.00862,-1.2685
0.00863,-0.09066
0.00864,-0.97378
0.00865,-3.531
0.00866,-3.5551
0.00867,-2.8402
0.00868,5.3704
0.00869,-5.366
0.0087,5.0689
0.00871,2.4992
0.00872,2.3742
0.00873,-1.7374
0.00874,0.54355
0.00875,5.514
0.00876,0.99324
0.00877,1.0042
0.00878,3.1372
0.00879,-6.6689
0.0088,2.8343
0.00881,1.6817
0.00882,0.11635
0.00883,-5.4262
0.00884,3.1333
0.00885,1.8016
0.00886,-4.5841
0.00887,4.4616
0.00888,3.8354
0.00889,1.7441
0.0089,0.39323
0.00891,-0.046701
0.00892,3.6951
0.00893,-7.9913
0.00894,-1.6719
0.00895,-2.1664
0.00896,5.1549
0.00897,-2.4819
0.00898,-1.1707
0.00899,0.85265
0.009,-3.2344
0.00901,1.2682
0.00902,0.63555
0.00903,-2.9615
0.00904,-2.1282
0.00905,5.8069
0.00906,0.69022
0.00907,0.55093
0.00908,4.485
0.00909,-3.2283
0.0091,0.056424
0.00911,0.13938
0.00912,2.5292
0.00913,-0.68808
0.00914,-1.0106
0.00915,3.0265
0.00916,-1.7774
0.00917,1.4376
0.00918,2.1831
0.00919,-2.0372
0.0092,5.8714
0.00921,2.5153
0.00922,1.1008
0.00923,-1.1211
0.00924,3.3727
0.00925,3.8804
0.00926,0.17494
0.00927,-0.059542
0.00928,-0.61421
0.00929,-6.8916
0.0093,0.1996
0.00931,-2.3832
0.00932,-3.7168
0.00933,-1.2658
0.00934,-1.9688
0.00935,6.0156
0.00936,0.91339
0.00937,1.8307
0.00938,-1.5893
0.00939,0.35779
0.0094,4.968
0.00941,-3.5169
0.00942,1.0941
0.00943,-3.1504
0.00944,0.066991
0.00945,2.3385
0.00946,-0.45012
0.00947,0.39419
0.00948,1.5816
0.00949,-2.6939
0.0095,1.1803
0.00951,-2.9169
0.00952,-1.2631
0.00953,-2.6497
0.00954,3.4203
0.00955,3.4359
0.00956,-2.1986
0.00957,2.1294
0.00958,5.1126
0.00959,-2.0077
0.0096,3.4345
0.00961,-1.0178
0.00962,-3.1397
0.00963,1.1298
0.00964,5.8733
0.00965,1.4679
0.00966,0.59106
0.00967,-1.6146
0.00968,-0.20368
0.00969,0.15682
0.0097,4.0141
0.00971,-5.3219
0.00972,0.51893
0.00973,1.7092
0.00974,-1.7685
0.00975,-0.12448
0.00976,2.1633
0.00977,1.5846
0.00978,-1.8606
0.00979,-0.04454
0.0098,1.5643
0.00981,-1.2795
0.00982,-0.080766
0.00983,-1.1419
0.00984,3.912
0.00985,-2.5041
0.00986,0.18078
0.00987,0.09001
0.00988,-1.372
0.00989,-2.0379
0.0099,-3.9857
0.00991,-0.59113
0.00992,3.3345
0.00993,1.6442
0.00994,-0.38025
0.00995,-1.5281
0.00996,-2.3454
0.00997,0.012614
0.00998,-1.3371
0.00999,-0.66161
0.01,-3.5054
0.01001,4.3903
0.01002,2.1464
0.01003,-0.15821
0.01004,0.25075
0.01005,-1.4106
0.01006,-3.3429
0.01007,-0.10107
0.01008,-1.2002
0.01009,0.5198
0.0101,0.3208
0.01011,5.6559
0.01012,-1.8315
0.01013,0.84285
0.01014,3.6191
0.01015,0.021824
0.01016,-4.3677
0.01017,5.2827
0.01018,0.30289
0.01019,3.2146
0.0102,2.7456
0.01021,-3.5228
0.01022,-2.3242
0.01023,-3.6081
0.01024,-2.6594
0.01025,-0.70778
0.01026,2.4799
0.01027,-1.5708
0.01028,-0.92444
0.01029,-4.2012
0.0103,3.9251
0.01031,1.0633
0.01032,-0.32721
0.01033,1.5813
0.01034,-6.0215
0.01035,2.0102
0.01036,-2.1896
0.01037,3.063
0.01038,-7.7997
0.01039,0.70909
0.0104,0.098509
0.01041,-1.2466
0.01042,-0.80511
0.01043,-3.6947
0.01044,-2.107
0.01045,0.11112
0.01046,-0.61246
0.01047,5.3215
0.01048,2.2022
0.01049,4.1335
0.0105,0.48212
0.01051,4.0281
0.01052,0.15198
0.01053,-1.6921
0.01054,-2.5745
0.01055,3.8973
0.01056,4.1646
0.01057,3.8861
0.01058,3.5949
0.01059,3.4294
0.0106,2.8313
0.01061,-0.6185
0.01062,3.3533
0.01063,4.4931
0.01064,0.12711
0.01065,-4.373
0.01066,3.8975
0.01067,-2.0361
0.01068,-1.6783
0.01069,-1.3814
0.0107,-0.93029
0.01071,-2.0713
0.01072,-0.84683
0.01073,-4.5366
0.01074,-3.7674
0.01075,0.79048
0.01076,5.1498
0.01077,-6.4438
0.01078,-4.5662
0.01079,0.45076
0.0108,-1.1219
0.01081,-0.20217
0.01082,-6.1974
0.01083,-2.1703
0.01084,0.050148
0.01085,5.4149
0.01086,-3.3873
0.01087,2.4719
0.01088,-0.20759
0.01089,-0.76654
0.0109,1.782
0.01091,2.2705
0.01092,3.5039
0.01093,-0.19099
0.01094,-4.262
0.01095,1.6106
0.01096,-2.1922
0.01097,-6.6945
0.01098,-1.566
0.01099,5.2165
0.011,-1.2797
0.01101,-1.6946
0.01102,0.22628
0.01103,8.3787
0.01104,-1.6253
0.01105,5.9733
0.01106,-2.1987
0.01107,3.6247
0.01108,-3.3719
0.01109,-1.6993
0.0111,-4.6091
0.01111,4.8899
0.01112,0.95403
0.01113,-3.6087
0.01114,-0.28916
0.01115,2.6224
0.01116,-0.18143
0.01117,4.6792
0.01118,-1.5075
0.01119,-3.7909
0.0112,1.6444
0.01121,-3.3367
0.01122,4.7005
0.01123,-0.75322
0.01124,2.7715
0.01125,1.3233
0.01126,1.5759
0.01127,1.1073
0.01128,-2.9496
0.01129,6.1935
0.0113,-6.3685
0.01131,-2.9432
0.01132,2.0087
0.01133,-1.7085
0.01134,3.6596
0.01135,-5.8569
0.01136,-7.0318
0.01137,-1.1957
0.01138,2.464
0.01139,-1.7407
0.0114,-0.26257
0.01141,-1.2425
0.01142,5.0686
0.01143,3.1855
0.01144,-3.2115
0.01145,0.93583
0.01146,-0.18192
0.01147,-1.2734
0.01148,0.31536
0.01149,3.0026
0.0115,-2.907
0.01151,0.33442
0.01152,-3.2168
0.01153,-1.5673
0.01154,-3.6026
0.01155,-8.0052
0.01156,3.1013
0.01157,-4.0626
0.01158,0.40499
0.01159,-5.0675
0.0116,-6.1353
0.01161,-4.6341
0.01162,0.89495
0.01163,-1.2916
0.01164,1.5101
0.01165,-3.7437
0.01166,-1.456
0.01167,2.8233
0.01168,-3.8397
0.01169,-7.1235
0.0117,-1.8851
0.01171,-0.42232
0.01172,1.5068
0.01173,-3.3616
0.01174,-1.5636
0.01175,1.4017
0.01176,0.76473
0.01177,0.19881
0.01178,-0.12562
0.01179,-3.4427
0.0118,3.2927
0.01181,-0.66204
0.01182,-0.943
0.01183,1.4792
0.01184,-4.1828
0.01185,-0.65141
0.01186,-8.9295
0.01187,-2.4083
0.01188,6.1019
0.01189,-2.3755
0.0119,0.68976
0.01191,-1.8243
0.01192,1.9043
0.01193,-5.6311
0.01194,0.42186
0.01195,-2.782
0.01196,3.4072
0.01197,-1.2417
0.01198,2.891
0.01199,1.832
0.012,1.386
0.01201,-1.4979
0.01202,-0.73672
0.01203,0.14313
0.01204,0.94458
0.01205,2.5915
0.01206,1.1173
0.01207,2.3382
0.01208,0.20331
0.01209,2.3997
0.0121,1.09
0.01211,-0.93
0.01212,1.6091
0.01213,-0.47967
0.01214,-0.24662
0.01215,-1.6093
0.01216,-2.5072
0.01217,3.5
0.01218,-0.67344
0.01219,0.8725
0.0122,-2.851
0.01221,3.049
0.01222,2.0035
0.01223,-1.3478
0.01224,1.6578
0.01225,-3.7198
0.01226,1.3466
0.01227,0.99567
0.01228,-6.5799
0.01229,-1.798
0.0123,0.84199
0.01231,4.3496
0.01232,1.4208
0.01233,-0.0027045
0.01234,-2.0193
0.01235,-0.54674
0.01236,0.61125
0.01237,-1.2232
0.01238,2.2764
0.01239,0.69339
0.0124,2.4816
0.01241,-1.4781
0.01242,7.8563
0.01243,0.49991
0.01244,0.55627
0.01245,6.7261
0.01246,2.3301
0.01247,3.5595
0.01248,1.7472
0.01249,2.0291
0.0125,-1.8422
0.01251,-2.5694
0.01252,2.1074
0.01253,4.6264
0.01254,1.9023
0.01255,-3.1337
0.01256,1.0174
0.01257,-5.5885
0.01258,-0.74834
0.01259,2.8775
0.0126,-0.74095
0.01261,-3.8518
0.01262,1.9364
0.01263,9.4575
0.01264,1.6497
0.01265,-3.1052
